candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Landivisiau,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Limoges,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Lisieux,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Nimes,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Orleans,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Rochefort-Sur-Loire,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Royan La Palmyre,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Vannes,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Vire,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Bad Doberan,Germany,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Frankfurt,Germany,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Leipzig,Germany,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Mannheim,Germany,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Varese,Italy,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Wingatui,New Zealand,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
